slug,name,id_prefix_novedades,suggested_category,matched_rule
audifonos-bluetooth-soccer-ball-13385,Audífonos Bluetooth Soccer Ball,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
cargador-inalambrico-bamboo-clock-13404,Cargador Inalámbrico Bamboo Clock,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
set-de-limpieza-nomi-13408,Set de Limpieza Nomi,true,REQUIRES_REVIEW,
cable-tipo-c-1mt-13410,Cable Tipo c 1mt,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
pila-recargable-powerbank-astro-2000mah-13411,Pila Recargable Powerbank Astro 2000mah,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
puerto-usb-apex-13414,Puerto Usb Apex,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
pila-recargable-nevol-2000mah-13421,Pila Recargable Nevol 2000mah,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
pila-recargable-zyma10000mah-13422,Pila Recargable Zyma10000mah,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
bolsa-en-algodon-y-yute-13436,Bolsa en Algodón y Yute,true,mochilas-y-maletines-personalizados,\bmorral\b|\bbackpack\b|\bbolsa\b|\bsporty bag\b|\bmaletin\b|\bcosmetiquera\b|\bportadocumentos\b
portacomidas-puzzle-13437,Portacomidas Puzzle,true,hogar,\bset de cocina\b|\bportacomidas\b|\bcoge ollas\b|\bmolde para paletas\b|\bset de cubiertos\b|\bventilador\b
set-de-cocina-trattoria-13433,Set de Cocina Trattoria,true,hogar,\bset de cocina\b|\bportacomidas\b|\bcoge ollas\b|\bmolde para paletas\b|\bset de cubiertos\b|\bventilador\b
cable-multicargador-gauss-eco-13444,Cable Multicargador Gauss Eco,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
mug-metalico-juggy-880ml-13450,Mug Metálico Juggy 880ml,true,mugs-y-termos-personalizados,\bmugs?\b|\btermos?\b|\bcafetera\b
masajeador-roller-2-1-13452,Masajeador Roller 2-1,true,boligrafos-publicitarios,\bboligrafos?\b|\broller\b|\bportaminas\b
portacelular-elephant-13453,Portacelular Elephant,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
clip-magnetico-2-1-13455,Clip Magnetico 2-1,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
martillo-reflex-13456,Martillo Reflex,true,herramientas,\bherramient|\bmartillo\b
mug-metalico-noma-chili-900ml-13459,Mug Metálico Noma Chili 900ml,true,mugs-y-termos-personalizados,\bmugs?\b|\btermos?\b|\bcafetera\b
speaker-bluetooth-fyra-13466,Speaker Bluetooth Fyra,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
mug-metalico-avenix380-ml-13468,Mug Metálico Avenix380 ml,true,mugs-y-termos-personalizados,\bmugs?\b|\btermos?\b|\bcafetera\b
speaker-bluetooth-bambino-3-1-13470,Speaker Bluetooth Bambino 3-1,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
speaker-bluetooth-auralux-13471,Speaker Bluetooth Auralux,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
mug-plastico-quovo-500ml-13474,Mug Plastico Quovo 500ml,true,mugs-y-termos-personalizados,\bmugs?\b|\btermos?\b|\bcafetera\b
cargador-inalambrico-voss-13475,Cargador Inalambrico Voss,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
cable-multicargador-voss-13476,Cable Multicargador Voss,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
cargador-inalambrico-con-cables-4-1-13478,Cargador Inalambrico Con Cables 4-1,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
