sku,slug_a,slug_b,name_similarity,content_similarity,same_images,same_category,material_difference,spec_difference,gsc_a,gsc_b,classification,suggested_canonical,suggested_redirect,confidence,requires_human_review
5159,botilito-mini-spring-550ml-5159,botilito-mini-spring-590ml-tapa-importada-o-nacional-5159,0.629,0.881,true,true,unknown,true,0,0,LEGITIMATE_VARIANT,,,0.55,true
6706,botilito-supra-en-pet-610ml-produccion-nacional-6706,botilito-supra-en-pet-600ml-produccion-nacional-6706,0.949,0.804,true,true,unknown,true,0,0,LEGITIMATE_VARIANT,,,0.55,true
5741,botilito-en-pvc-helice-650ml-produccion-nacional-5741,botilito-en-pvc-helice-760ml-produccion-nacional-5741,0.925,0.784,true,true,false,true,0,0,LEGITIMATE_VARIANT,,,0.55,true
9699,mug-metalico-con-bamboo-500ml-9699,mug-eco-chic-bambu-disfruta-tu-cafe-con-estilo-sustentable-9699,0.373,0.737,true,false,true,unknown,0,0,LEGITIMATE_VARIANT,,,0.50,true
9707,mug-metalico-warmer-450ml-9707,termo-viajero-calientito-tu-companero-ideal-9707,0.211,0.759,true,false,unknown,unknown,0,0,INSUFFICIENT_DATA,,,0.30,true
10688,botilito-plastico-wonder-650ml-produccion-nacional-10688,botilito-plastico-wonder-700ml-produccion-nacional-10688,0.927,0.794,true,true,false,true,0,0,LEGITIMATE_VARIANT,,,0.55,true
6865,paraguas-lancelot-27-oferta-6865,paraguas-lancelot-27-6865,1.000,0.786,true,true,unknown,unknown,0,0,EXACT_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.95,true
6753,panos-humedos-antibacterial-60und-precio-bomba-6753,panos-humedos-antibacterial-60und-6753,0.829,0.767,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.73,true
13338,masajeador-hyper-eco-nuevo-13338,masajeador-hyper-eco-13338,1.000,0.725,true,true,unknown,unknown,0,0,EXACT_DUPLICATE,masajeador-hyper-eco-13338,masajeador-hyper-eco-nuevo-13338,0.95,true
13332,pastillero-radion-nuevo-13332,pastillero-radion-13332,1.000,0.662,true,true,unknown,unknown,0,0,EXACT_DUPLICATE,pastillero-radion-13332,pastillero-radion-nuevo-13332,0.95,true
9721,reloj-led-bamboo-oferta-9721,reloj-led-bamboo-9721,1.000,0.830,true,true,unknown,unknown,0,0,EXACT_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.95,true
13333,reloj-de-arena-doble-nuevo-13333,reloj-de-arena-doble-13333,1.000,0.688,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,reloj-de-arena-doble-13333,reloj-de-arena-doble-nuevo-13333,0.80,true
7557,soporte-magnetico-para-moviles-7557,iman-titan-soporte-magnetico-para-tu-celular-7557,0.677,0.697,true,true,unknown,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.67,true
7518,soporte-para-movil-flexi-7518,agarre-total-flexi-tu-copiloto-ideal-7518,0.370,0.755,true,true,unknown,unknown,0,0,INSUFFICIENT_DATA,,,0.30,true
9587,audifono-bluetooth-manos-libres-2-1-oferta-9587,audifono-bluetooth-2-en-1-libertad-total-al-volante-9587,0.649,0.779,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.66,true
7776,localizador-de-llaves-7776,no-pierdas-mas-tiempo-encuentra-tus-llaves-con-keyfind-7776,0.185,0.733,true,false,unknown,unknown,0,0,INSUFFICIENT_DATA,,,0.30,true
9080,soporte-para-moviles-pilot-9080,pilot-grip-tu-copiloto-perfecto-9080,0.250,0.760,true,true,unknown,unknown,0,0,INSUFFICIENT_DATA,,,0.30,true
13320,soporte-para-celular-pop-it-nuevo-13320,soporte-para-celular-pop-it-13320,1.000,0.732,true,true,unknown,unknown,0,0,EXACT_DUPLICATE,soporte-para-celular-pop-it-13320,soporte-para-celular-pop-it-nuevo-13320,0.95,true
9439,cuerpo-plastico-para-abanico-9439,cuerpo-plastico-para-abanico-tela-impresa-prod-nal-9439,0.742,0.752,true,false,false,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.70,true
1442,escudo-solar-auto-frescura-y-proteccion-para-tu-viaje-1442,protector-solar-para-carro-1442,0.492,0.769,true,true,unknown,unknown,0,0,INSUFFICIENT_DATA,,,0.30,true
7410,turboclean-mini-el-aspirador-imbatible-para-tu-auto-7410,aspiradora-para-carro-7410,0.387,0.715,true,true,unknown,unknown,0,0,INSUFFICIENT_DATA,,,0.30,true
9364,ecologica-vita-bolsa-reutilizable-hecha-en-mexico-9364,bolsa-en-cambrel-multiusos-vita-prod-nacional-9364,0.386,0.720,true,true,unknown,unknown,0,0,INSUFFICIENT_DATA,,,0.30,true
9333,descanso-tricolor-cojin-de-viaje-3-en-1-9333,cojin-de-viaje-triple-uso-produccion-nacional-9333,0.507,0.739,true,true,unknown,unknown,0,0,INSUFFICIENT_DATA,,,0.30,true
13569,mug-metalico-arrow-600-ml-nuevomas-13569,mug-metalico-arrow-600-ml-nuevo-13569,0.939,0.806,true,false,false,false,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.78,true
13570,mug-metalico-gillan-500-ml-nuevomas-13570,mug-metalico-gillan-500-ml-nuevo-13570,0.941,0.884,true,false,false,false,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.78,true
13539,resaltador-de-cera-seren-nuevomas-13539,resaltador-de-cera-seren-nuevo-13539,0.913,0.790,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.77,true
13540,lapiz-infinito-gemini-nuevomas-13540,lapiz-infinito-gemini-nuevo-13540,0.895,0.832,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.76,true
13553,bolsa-en-cambrel-soot-nuevomas-13553,bolsa-en-cambrel-soot-nuevo-13553,0.909,0.825,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.76,true
13554,bolsa-en-algodon-y-yute-nativ-300-gm-nuevomas-13554,bolsa-en-algodon-y-yute-nativ-300-gm-nuevo-13554,0.943,0.855,true,false,false,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.78,true
13555,bolsa-en-algodon-basic-300-gm-nuevomas-13555,bolsa-en-algodon-basic-300-gm-nuevo-13555,0.947,0.824,true,false,false,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.78,true
13556,planeador-semanal-week-nuevomas-13556,planeador-semanal-week-nuevo-13556,0.930,0.844,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.77,true
13559,mug-lume-350-ml-nuevomas-13559,mug-lume-350-ml-nuevo-13559,0.903,0.880,true,false,unknown,false,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.76,true
13560,paraguas-balan-23-nuevomas-13560,paraguas-balan-23-13560,0.914,0.810,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,paraguas-balan-23-13560,paraguas-balan-23-nuevomas-13560,0.77,true
10664,boligrafo-aldrich-metalizadomas-10664,boligrafo-aldrich-metalizado-10664,0.962,0.809,true,false,false,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.78,true
10663,boligrafo-aldrich-solidomas-10663,boligrafo-aldrich-solido-10663,0.933,0.781,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.77,true
10658,boligrafo-baniri-bamboomas-10658,boligrafo-baniri-bamboo-10658,0.927,0.826,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.77,true
10666,boligrafo-helmetmas-10666,boligrafo-helmet-10666,0.882,0.812,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.75,true
10662,boligrafo-landonmas-10662,boligrafo-landon-10662,0.882,0.804,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.75,true
10661,boligrafo-luanamas-10661,boligrafo-luana-10661,0.875,0.771,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.75,true
10659,boligrafo-ziwei-bamboomas-10659,boligrafo-ziwei-bamboo-10659,0.930,0.849,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.77,true
3010,cartoonmas-3010,cartoon-3010,0.750,0.744,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.70,true
3690,woodymas-3690,woody-3690,0.667,0.784,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.67,true
8231,ecologikmas-8231,ecologik-8231,0.778,0.776,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.71,true
6463,bolsa-clear-trenza-con-ribete-produccion-nacionalmas-6463,bolsa-clear-trenza-con-ribete-produccion-nacional-6463,0.952,0.820,true,true,unknown,unknown,0,0,EXACT_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.95,true
6460,bolsa-clear-zuzy-con-ribete-produccion-nacionalmas-6460,bolsa-clear-zuzy-con-ribete-produccion-nacional-6460,0.951,0.790,true,true,unknown,unknown,0,0,EXACT_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.95,true
4083,botilito-sport-650ml-produccion-nacionalmas-4083,botilito-sport-650ml-produccion-nacional-4083,0.959,0.851,true,true,unknown,false,0,0,EXACT_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.95,true
10282,soporte-para-moviles-strike-produccion-nacionalmas-10282,soporte-para-moviles-strike-produccion-nacional-10282,0.964,0.813,true,true,unknown,unknown,0,0,EXACT_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.95,true
2026,relojes-catalogo-novelties-2026,relojes-catalogo-mundial-2026,0.585,0.801,false,true,unknown,unknown,0,0,LEGITIMATE_VARIANT,,,0.50,true
